T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;6830;9316;466445;466445;505;0.4335;20.13;1922
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;5317;5903;31941;31941;68;0.0194;2.24;602
T-MDA;htc-cmp142;Grid-Problem1.grid;10000;39600;877;768;2863;2863;8;0.0013;1.07;203
T-MDA;htc-cmp142;Grid-Problem1.grid;10000;39600;9037;8218;100386;100386;180;0.0665;5.19;993
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;2475;2266;2797;2797;14;0.0012;1.07;190
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;3701;5536;1100130;1100130;1380;1.5434;46.85;2178
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;8457;5853;253225;253225;135;0.9126;11.15;1269
T-MDA;htc-cmp132;Grid-Problem1.grid;10000;39600;8061;9523;1649127;1649127;1020;4.2076;68.16;2629
T-MDA;htc-cmp132;Grid-Problem1.grid;10000;39600;5629;6810;191084;191084;286;0.1768;8.62;1181
T-MDA;htc-cmp132;Grid-Problem1.grid;10000;39600;8116;6807;46625;46625;176;0.0331;2.78;578
T-MDA;htc-cmp146;Grid-Problem1.grid;10000;39600;8716;9168;2323503;2323503;870;5.5132;97.24;2428
T-MDA;htc-cmp146;Grid-Problem1.grid;10000;39600;1113;5231;1580833;1580833;2651;3.8438;66.34;2039
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;5076;690;3013960;3013960;1848;11.1663;125.88;3923
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;2461;559;69084;69084;56;0.0521;3.85;1097
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;7576;8721;4086928;4086928;2433;13.3153;171.46;3588
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;7760;9798;2274184;2274184;2750;8.0629;94.31;2928
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;3236;3564;401952;401952;221;0.5859;16.77;1655
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;2065;125;3267151;3267151;1605;34.1489;134.95;2953
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;9067;9716;2903671;2903671;577;34.4763;121.08;2840
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;2232;7400;8920259;8920259;5240;42.2333;371.17;4239
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;4452;4388;1173557;1173557;274;8.9312;48.22;2983
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;6642;2963;3576682;3576682;2827;50.6941;147.53;3954
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;5624;6457;963401;963401;348;7.6427;39.93;2585
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;6112;8620;276531;276531;254;1.2880;12.37;1335
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;9199;6657;1891368;1891368;2296;18.7012;80.57;1674
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;1901;2259;2799352;2799352;1010;30.9378;117.60;2591
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;3415;1670;6168676;6168676;2994;103.3794;258.90;3843
T-MDA;htc-cmp132;Grid-Problem1.grid;10000;39600;8883;6404;18357710;18357710;6684;153.2263;762.53;4598
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;8292;6032;5090064;5090064;3375;75.5556;213.71;3217
T-MDA;htc-cmp143;Grid-Problem1.grid;10000;39600;2083;6616;21565023;21565023;11953;174.7557;906.53;5293
T-MDA;htc-cmp143;Grid-Problem1.grid;10000;39600;3151;3120;764412;764412;208;1.0130;31.85;2280
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;4379;8;24782059;24782059;13150;181.6995;1036.92;5391
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;2282;2215;7553209;7553209;1175;128.5208;320.44;4193
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;5589;7943;4594940;4594940;3304;77.5028;191.29;3608
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;1060;6123;9830032;9830032;5172;47.9756;406.22;4262
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;5042;4134;18740;18740;97;0.0100;1.70;468
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;7086;8714;11104378;11104378;5763;245.6085;467.07;4844
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;5500;5194;29998086;29998086;4652;284.8283;1249.96;5478
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;9341;8870;351696;351696;476;0.3420;15.37;1316
T-MDA;htc-cmp121;Grid-Problem1.grid;10000;39600;4162;4590;338210;338210;184;0.3538;14.43;1654
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;8529;6093;11549054;11549054;5223;51.3774;484.24;4674
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;1712;6;94794;94794;87;0.0689;4.97;1034
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;5563;3166;139113;139113;105;0.1065;6.56;1463
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;2923;5339;527499;527499;575;0.5925;22.42;2004
T-MDA;htc-cmp137;Grid-Problem1.grid;10000;39600;6866;3918;7897801;7897801;3617;28.5806;330.18;4663
T-MDA;htc-cmp142;Grid-Problem1.grid;10000;39600;338;9723;29439813;29439813;7022;348.5904;1238.23;5731
